feature,importance
cat__TotalCharges_2289.9,0.0
cat__TotalCharges_229.4,0.0
cat__TotalCharges_229.5,0.0
cat__TotalCharges_229.55,0.0
cat__TotalCharges_229.6,0.0
cat__TotalCharges_229.7,0.0
cat__TotalCharges_2324.7,0.0
cat__TotalCharges_2326.05,0.0
cat__TotalCharges_233.65,0.0
cat__TotalCharges_2369.05,0.0
cat__TotalCharges_2351.45,0.0
cat__TotalCharges_2351.8,0.0
cat__TotalCharges_2354.8,0.0
cat__TotalCharges_2356.75,0.0
cat__TotalCharges_2357.75,0.0
cat__TotalCharges_2361.8,0.0
cat__TotalCharges_2362.1,0.0
cat__TotalCharges_2365.15,0.0
cat__TotalCharges_2368.4,0.0
cat__TotalCharges_2369.3,0.0
cat__TotalCharges_233.7,0.0
cat__TotalCharges_2369.7,0.0
cat__TotalCharges_237.2,0.0
cat__TotalCharges_237.25,0.0
cat__TotalCharges_237.3,0.0
cat__TotalCharges_237.65,0.0
cat__TotalCharges_237.7,0.0
cat__TotalCharges_237.95,0.0
cat__TotalCharges_2375.4,0.0
cat__TotalCharges_2379.1,0.0
cat__TotalCharges_235.8,0.0
cat__TotalCharges_235.65,0.0
cat__TotalCharges_235.5,0.0
cat__TotalCharges_235.1,0.0
cat__TotalCharges_2331.3,0.0
cat__TotalCharges_2333.05,0.0
cat__TotalCharges_2333.85,0.0
cat__TotalCharges_2335.3,0.0
cat__TotalCharges_2337.45,0.0
cat__TotalCharges_2338.35,0.0
cat__TotalCharges_2339.3,0.0
cat__TotalCharges_234.85,0.0
cat__TotalCharges_2342.2,0.0
cat__TotalCharges_2343.85,0.0
cat__TotalCharges_2344.5,0.0
cat__TotalCharges_2345.2,0.0
cat__TotalCharges_2345.55,0.0
cat__TotalCharges_2347.85,0.0
cat__TotalCharges_2347.9,0.0
cat__TotalCharges_2348.45,0.0
cat__TotalCharges_2349.8,0.0
cat__TotalCharges_235,0.0
cat__TotalCharges_235.05,0.0
cat__TotalCharges_238.5,0.0
cat__TotalCharges_2674.15,0.0
cat__TotalCharges_2679.7,0.0
cat__TotalCharges_260.8,0.0
cat__TotalCharges_2568.15,0.0
cat__TotalCharges_2568.55,0.0
cat__TotalCharges_257,0.0
cat__TotalCharges_257.6,0.0
cat__TotalCharges_2570,0.0
cat__TotalCharges_2570.2,0.0
cat__TotalCharges_2572.95,0.0
cat__TotalCharges_2576.2,0.0
cat__TotalCharges_2576.8,0.0
cat__TotalCharges_258.35,0.0
cat__TotalCharges_2583.75,0.0
cat__TotalCharges_2586,0.0
cat__TotalCharges_2587.7,0.0
cat__TotalCharges_2588.95,0.0
cat__TotalCharges_259.4,0.0
cat__TotalCharges_259.8,0.0
cat__TotalCharges_2595.25,0.0
cat__TotalCharges_2596.15,0.0
cat__TotalCharges_2599.95,0.0
cat__TotalCharges_2566.5,0.0
cat__TotalCharges_2564.95,0.0
cat__TotalCharges_2564.3,0.0
cat__TotalCharges_255.5,0.0
cat__TotalCharges_2545.7,0.0
cat__TotalCharges_2545.75,0.0
cat__TotalCharges_2546.85,0.0
cat__TotalCharges_2548.55,0.0
cat__TotalCharges_2548.65,0.0
cat__TotalCharges_2549.1,0.0
cat__TotalCharges_255.25,0.0
cat__TotalCharges_255.35,0.0
cat__TotalCharges_255.55,0.0
cat__TotalCharges_2560.1,0.0
cat__TotalCharges_255.6,0.0
cat__TotalCharges_2552.9,0.0
cat__TotalCharges_2554,0.0
cat__TotalCharges_2555.05,0.0
cat__TotalCharges_2555.9,0.0
cat__TotalCharges_256.25,0.0
cat__TotalCharges_256.6,0.0
cat__TotalCharges_256.75,0.0
cat__TotalCharges_260.7,0.0
cat__TotalCharges_260.9,0.0
cat__TotalCharges_2654.05,0.0
cat__TotalCharges_2602.9,0.0
cat__TotalCharges_263.65,0.0
cat__TotalCharges_2633.3,0.0
cat__TotalCharges_2633.4,0.0
cat__TotalCharges_2633.95,0.0
cat__TotalCharges_2635,0.0
cat__TotalCharges_2636.05,0.0
cat__TotalCharges_2638.1,0.0
cat__TotalCharges_264.8,0.0
cat__TotalCharges_264.85,0.0
cat__TotalCharges_2640.55,0.0
cat__TotalCharges_2642.05,0.0
cat__TotalCharges_2647.1,0.0
cat__TotalCharges_2647.2,0.0
cat__TotalCharges_2649.15,0.0
cat__TotalCharges_265.3,0.0
cat__TotalCharges_265.8,0.0
cat__TotalCharges_2651.1,0.0
cat__TotalCharges_2651.2,0.0
cat__TotalCharges_2653.65,0.0
cat__TotalCharges_263.05,0.0
cat__TotalCharges_2627.35,0.0
cat__TotalCharges_2627.2,0.0
cat__TotalCharges_2618.3,0.0
cat__TotalCharges_2603.95,0.0
cat__TotalCharges_2606.35,0.0
cat__TotalCharges_2607.6,0.0
cat__TotalCharges_261.25,0.0
cat__TotalCharges_261.3,0.0
cat__TotalCharges_261.65,0.0
cat__TotalCharges_2610.65,0.0
cat__TotalCharges_2613.4,0.0
cat__TotalCharges_2619.15,0.0
cat__TotalCharges_2626.15,0.0
cat__TotalCharges_2619.25,0.0
cat__TotalCharges_262.05,0.0
cat__TotalCharges_262.3,0.0
cat__TotalCharges_2621.75,0.0
cat__TotalCharges_2623.65,0.0
cat__TotalCharges_2624.25,0.0
cat__TotalCharges_2625.25,0.0
cat__TotalCharges_2625.55,0.0
cat__TotalCharges_2542.45,0.0
cat__TotalCharges_2541.25,0.0
cat__TotalCharges_2540.1,0.0
cat__TotalCharges_254.5,0.0
cat__TotalCharges_2658.8,0.0
cat__TotalCharges_2658.4,0.0
cat__TotalCharges_2479.05,0.0
cat__TotalCharges_2657.55,0.0
cat__TotalCharges_2656.7,0.0
cat__TotalCharges_2656.3,0.0
